מספר_הזמנה,תאריך,שנה,חודש,יום_בשבוע,עונה,חג,רשת,עיר,אזור,קטגוריה,תת_קטגוריה,מוצר,כמות,מחיר_יחידה,הנחה_אחוז,מכירות_ש,רווח_ש,אחוז_רווח
IL-01018,2023-05-30,2023,5,שלישי,אביב,,שופרסל,נצרת,צפון,מזון ומשקאות,משקאות,מיץ טבעי,5,10.32,0.2,51.6,6.68,12.9
IL-01019,2023-11-28,2023,11,שלישי,חורף,,מגה,ראשון לציון,מרכז,בית וגן,סלון,שולחן קפה,1,339.15,0.15,339.15,85.72,25.3
IL-01020,2023-06-24,2023,6,שבת,קיץ,,רמי לוי,אשקלון,דרום,בריאות ויופי,תרופות OTC,וויקס,5,19.92,0.2,99.6,27.65,27.8
IL-01021,2024-11-05,2024,11,שלישי,חורף,,רמי לוי,נהריה,צפון,אלקטרוניקה,אוזניות,AirPods,1,629.1,0.1,629.1,140.9,22.4
IL-01022,2023-10-26,2023,10,חמישי,סתיו,,שופרסל,חיפה,צפון,מזון ומשקאות,בשר ועוף,"בשר טחון ק""ג",4,52.9,0.0,211.6,23.96,11.3
IL-01023,2023-05-09,2023,5,שלישי,אביב,,יינות ביתן,הרצליה,שרון,מזון ומשקאות,מוצרי חלב,יוגורט דנונה,8,3.6,0.2,28.8,3.51,12.2
IL-01024,2022-05-22,2022,5,ראשון,אביב,,יינות ביתן,אשקלון,דרום,אלקטרוניקה,מחשבים,טאבלט iPad,8,2249.1,0.1,17992.8,2469.65,13.7
IL-01025,2022-12-05,2022,12,שני,חורף,,יינות ביתן,בני ברק,מרכז,בריאות ויופי,ויטמינים,ויטמין C 1000,4,33.15,0.15,132.6,40.27,30.4
IL-01026,2023-10-01,2023,10,ראשון,סתיו,,חצי חינם,בית שמש,ירושלים,ביגוד והנעלה,הנעלה,נעלי עבודה,8,279.0,0.0,2232.0,788.63,35.3
IL-01027,2023-05-23,2023,5,שלישי,אביב,,שופרסל,חולון,מרכז,ביגוד והנעלה,גברים,תחתון כותנה,4,35.1,0.1,140.4,44.29,31.5
IL-01028,2023-03-28,2023,3,שלישי,אביב,,שופרסל,תל אביב,מרכז,מזון ומשקאות,לחם ומאפים,לחם אחיד,1,6.0,0.2,6.0,0.79,13.2
IL-01029,2023-11-08,2023,11,רביעי,חורף,,יינות ביתן,ראשון לציון,מרכז,אלקטרוניקה,אוזניות,JBL Tune,8,299.0,0.0,2392.0,387.46,16.2
IL-01030,2022-09-28,2022,9,רביעי,סתיו,,יינות ביתן,אשדוד,דרום,בריאות ויופי,ויטמינים,ויטמין C 1000,8,31.2,0.2,249.6,77.69,31.1
IL-01031,2022-07-18,2022,7,שני,קיץ,,ויקטורי,באר שבע,דרום,ביגוד והנעלה,הנעלה,סנדלי נוחות,8,159.2,0.2,1273.6,422.77,33.2
IL-01032,2022-04-21,2022,4,חמישי,אביב,,חצי חינם,באר שבע,דרום,מזון ומשקאות,מוצרי חלב,גבינה לבנה 5%,6,10.32,0.2,61.92,10.87,17.6
IL-01033,2022-08-12,2022,8,שישי,קיץ,,רמי לוי,חולון,מרכז,אלקטרוניקה,מטעני חשמל,כבל Lightning,3,46.55,0.05,139.65,25.08,18.0
IL-01034,2023-01-11,2023,1,רביעי,חורף,,ויקטורי,בני ברק,מרכז,אלקטרוניקה,טלפונים,Samsung Galaxy,2,2799.0,0.0,5598.0,830.01,14.8
IL-01035,2022-01-31,2022,1,שני,חורף,,רמי לוי,ראשון לציון,מרכז,אלקטרוניקה,טלוויזיות,"LG 50""",8,2299.0,0.0,18392.0,3764.41,20.5
IL-01036,2024-04-01,2024,4,שני,אביב,,שופרסל,הרצליה,שרון,אלקטרוניקה,טלוויזיות,"Samsung 55""",7,2799.0,0.0,19593.0,2809.14,14.3
IL-01037,2024-09-23,2024,9,שני,סתיו,,רמי לוי,פתח תקווה,מרכז,ביגוד והנעלה,נשים,שמלת קיץ,1,126.65,0.15,126.65,45.12,35.6
IL-01038,2023-10-05,2023,10,חמישי,סתיו,,שופרסל,תל אביב,מרכז,בריאות ויופי,ויטמינים,ויטמין D3,3,44.0,0.0,132.0,34.48,26.1
IL-01039,2024-11-06,2024,11,רביעי,חורף,,רמי לוי,ראשון לציון,מרכז,מזון ומשקאות,חטיפים,ביסלי,4,6.55,0.05,26.2,2.1,8.0
IL-01040,2022-09-03,2022,9,שבת,סתיו,,רמי לוי,נהריה,צפון,בריאות ויופי,תרופות OTC,וויקס,2,23.65,0.05,47.3,15.42,32.6
IL-01041,2024-12-06,2024,12,שישי,חורף,,מגה,ירושלים,ירושלים,אלקטרוניקה,אוזניות,AirPods,5,664.05,0.05,3320.25,671.2,20.2
IL-01042,2022-09-26,2022,9,שני,סתיו,ראש השנה,חצי חינם,באר שבע,דרום,ביגוד והנעלה,הנעלה,סנדלי נוחות,2,437.8,0.0,875.6,310.96,35.5
IL-01043,2022-07-24,2022,7,ראשון,קיץ,,יינות ביתן,ראשון לציון,מרכז,אלקטרוניקה,מטעני חשמל,כבל Lightning,3,49.0,0.0,147.0,25.95,17.7
IL-01044,2022-05-21,2022,5,שבת,אביב,,מגה,ירושלים,ירושלים,אלקטרוניקה,טלוויזיות,"TCL 43""",5,1169.1,0.1,5845.5,999.39,17.1
IL-01045,2024-12-19,2024,12,חמישי,חורף,,חצי חינם,תל אביב,מרכז,בריאות ויופי,היגיינה,משחת שיניים,2,14.9,0.0,29.8,8.21,27.6
IL-01046,2023-06-26,2023,6,שני,קיץ,,שופרסל,ראשון לציון,מרכז,בריאות ויופי,קוסמטיקה,שפתון L'Oreal,5,44.1,0.1,220.5,65.8,29.8
IL-01047,2023-03-08,2023,3,רביעי,אביב,,מגה,אשדוד,דרום,אלקטרוניקה,אוזניות,JBL Tune,8,299.0,0.0,2392.0,397.5,16.6
IL-01048,2022-04-15,2022,4,שישי,אביב,,חצי חינם,ראשון לציון,מרכז,בית וגן,שינה,כרית שינה,1,89.0,0.0,89.0,27.74,31.2
IL-01049,2022-09-25,2022,9,ראשון,סתיו,ראש השנה,מגה,באר שבע,דרום,אלקטרוניקה,טלוויזיות,"TCL 43""",7,2572.02,0.1,18004.14,3426.34,19.0
IL-01050,2022-01-20,2022,1,חמישי,חורף,,שופרסל,ראשון לציון,מרכז,אלקטרוניקה,מטעני חשמל,מטען מהיר USB-C,6,80.1,0.1,480.6,61.09,12.7
IL-01051,2022-10-31,2022,10,שני,סתיו,,רמי לוי,בית שמש,ירושלים,מזון ומשקאות,בשר ועוף,"בשר טחון ק""ג",1,52.9,0.0,52.9,6.86,13.0
IL-01052,2023-03-07,2023,3,שלישי,אביב,,רמי לוי,באר שבע,דרום,מזון ומשקאות,בשר ועוף,"כנפיים ק""ג",7,22.41,0.1,156.87,17.01,10.8
IL-01053,2022-11-13,2022,11,ראשון,חורף,,רמי לוי,הרצליה,שרון,אלקטרוניקה,מחשבים,MacBook Air,1,5499.0,0.0,5499.0,878.15,16.0
IL-01054,2023-11-12,2023,11,ראשון,חורף,,ויקטורי,אשקלון,דרום,אלקטרוניקה,אוזניות,AirPods,2,664.05,0.05,1328.1,263.43,19.8
IL-01056,2023-04-12,2023,4,רביעי,אביב,פסח,שופרסל,חולון,מרכז,אלקטרוניקה,טלוויזיות,"LG 50""",5,3310.56,0.2,16552.8,3441.96,20.8
IL-01057,2022-05-23,2022,5,שני,אביב,,מגה,אשקלון,דרום,ביגוד והנעלה,אביזרים,כובע קיץ,6,69.0,0.0,414.0,134.48,32.5
IL-01058,2022-08-25,2022,8,חמישי,קיץ,,מגה,הרצליה,שרון,אלקטרוניקה,מטעני חשמל,כבל Lightning,1,49.0,0.0,49.0,8.37,17.1
IL-01059,2023-10-05,2023,10,חמישי,סתיו,,יינות ביתן,בית שמש,ירושלים,בריאות ויופי,תרופות OTC,אספירין,4,14.9,0.0,59.6,19.66,33.0
IL-01060,2022-04-01,2022,4,שישי,אביב,,ויקטורי,אשדוד,דרום,מזון ומשקאות,חטיפים,דיאגו,4,9.9,0.0,39.6,5.91,14.9
IL-01061,2024-06-02,2024,6,ראשון,קיץ,,חצי חינם,ראשון לציון,מרכז,ביגוד והנעלה,אביזרים,כובע קיץ,2,58.65,0.15,117.3,39.37,33.6
IL-01062,2023-09-08,2023,9,שישי,סתיו,,מגה,נצרת,צפון,בית וגן,שינה,שמיכת קיץ,5,134.1,0.1,670.5,184.01,27.4
IL-01063,2022-09-18,2022,9,ראשון,סתיו,,ויקטורי,חולון,מרכז,בית וגן,סלון,מנורת שולחן,5,122.55,0.05,612.75,151.23,24.7
IL-01064,2023-03-07,2023,3,שלישי,אביב,,יינות ביתן,בית שמש,ירושלים,בריאות ויופי,היגיינה,דאודורנט Rexona,8,18.9,0.05,151.2,42.96,28.4
IL-01065,2023-03-14,2023,3,שלישי,אביב,,ויקטורי,נצרת,צפון,אלקטרוניקה,טלפונים,Samsung Galaxy,6,2799.0,0.0,16794.0,3432.29,20.4
IL-01066,2023-04-27,2023,4,חמישי,אביב,,מגה,באר שבע,דרום,אלקטרוניקה,מחשבים,לפטופ Lenovo,1,2999.0,0.0,2999.0,661.84,22.1
IL-01067,2023-05-17,2023,5,רביעי,אביב,,יינות ביתן,חיפה,צפון,מזון ומשקאות,פירות וירקות,"תפוחים ק""ג",4,10.12,0.15,40.48,4.77,11.8
IL-01068,2024-02-26,2024,2,שני,חורף,,ויקטורי,חיפה,צפון,אלקטרוניקה,מחשבים,טאבלט iPad,1,1999.2,0.2,1999.2,420.04,21.0
IL-01069,2022-08-07,2022,8,ראשון,קיץ,,ויקטורי,אשקלון,דרום,אלקטרוניקה,מחשבים,טאבלט iPad,8,2499.0,0.0,19992.0,3815.45,19.1
IL-01070,2023-05-26,2023,5,שישי,אביב,,שופרסל,הרצליה,שרון,בית וגן,סלון,שולחן קפה,6,319.2,0.2,1915.2,499.19,26.1
IL-01071,2024-06-25,2024,6,שלישי,קיץ,,חצי חינם,נהריה,צפון,בריאות ויופי,ויטמינים,ויטמין D3,8,44.0,0.0,352.0,116.46,33.1
IL-01072,2024-08-30,2024,8,שישי,קיץ,,מגה,חיפה,צפון,אלקטרוניקה,אוזניות,JBL Tune,8,254.15,0.15,2033.2,459.79,22.6
IL-01073,2023-05-05,2023,5,שישי,אביב,,ויקטורי,בני ברק,מרכז,מזון ומשקאות,משקאות,מים נביעות 6פ',4,14.9,0.0,59.6,7.09,11.9
IL-01074,2023-11-19,2023,11,ראשון,חורף,,יינות ביתן,ירושלים,ירושלים,מזון ומשקאות,לחם ומאפים,לחם אחיד,4,7.12,0.05,28.48,4.75,16.7
IL-01075,2022-11-09,2022,11,רביעי,חורף,,רמי לוי,אשדוד,דרום,מזון ומשקאות,פירות וירקות,"תפוחים ק""ג",6,10.71,0.1,64.26,2.66,4.1
IL-01076,2024-08-12,2024,8,שני,קיץ,,שופרסל,בית שמש,ירושלים,אלקטרוניקה,טלוויזיות,"LG 50""",1,1839.2,0.2,1839.2,376.41,20.5
IL-01077,2024-02-19,2024,2,שני,חורף,,שופרסל,חיפה,צפון,ביגוד והנעלה,ילדים,נעלי ילדים,7,107.1,0.1,749.7,264.35,35.3
IL-01078,2023-03-28,2023,3,שלישי,אביב,,רמי לוי,חיפה,צפון,ביגוד והנעלה,הנעלה,סנדלי נוחות,1,189.05,0.05,189.05,64.47,34.1
IL-01079,2023-11-20,2023,11,שני,חורף,,חצי חינם,באר שבע,דרום,בית וגן,סלון,שולחן קפה,3,359.1,0.1,1077.3,304.61,28.3
IL-01080,2024-12-29,2024,12,ראשון,חורף,,ויקטורי,תל אביב,מרכז,בריאות ויופי,תרופות OTC,אקמול 500מג,7,18.9,0.0,132.3,34.45,26.0
IL-01081,2023-03-10,2023,3,שישי,אביב,,מגה,חיפה,צפון,ביגוד והנעלה,הנעלה,סנדלי נוחות,7,199.0,0.0,1393.0,478.37,34.3
IL-01082,2022-06-17,2022,6,שישי,קיץ,,שופרסל,חיפה,צפון,בריאות ויופי,תרופות OTC,אספירין,4,12.66,0.15,50.64,16.75,33.1
IL-01083,2022-03-24,2022,3,חמישי,אביב,פורים,שופרסל,אשקלון,דרום,אלקטרוניקה,מחשבים,לפטופ Lenovo,3,5998.0,0.0,17994.0,4036.72,22.4
IL-01084,2022-09-16,2022,9,שישי,סתיו,,חצי חינם,חיפה,צפון,מזון ומשקאות,חטיפים,ביסלי,8,5.87,0.15,46.96,4.91,10.5
IL-01085,2023-06-09,2023,6,שישי,קיץ,,מגה,אשקלון,דרום,אלקטרוניקה,מטעני חשמל,סוללה ניידת,2,119.2,0.2,238.4,37.13,15.6
IL-01086,2022-12-02,2022,12,שישי,חורף,,שופרסל,בני ברק,מרכז,בריאות ויופי,תרופות OTC,אספירין,7,14.15,0.05,99.05,30.21,30.5
IL-01087,2023-09-10,2023,9,ראשון,סתיו,,חצי חינם,נתניה,שרון,בריאות ויופי,תרופות OTC,וויקס,1,24.9,0.0,24.9,8.65,34.7
IL-01088,2024-12-27,2024,12,שישי,חורף,,חצי חינם,בית שמש,ירושלים,ביגוד והנעלה,גברים,תחתון כותנה,6,39.0,0.0,234.0,84.21,36.0
IL-01089,2024-05-10,2024,5,שישי,אביב,,ויקטורי,נתניה,שרון,מזון ומשקאות,פירות וירקות,"תפוחים ק""ג",8,10.12,0.15,80.96,8.43,10.4
IL-01090,2022-11-10,2022,11,חמישי,חורף,,רמי לוי,בית שמש,ירושלים,בריאות ויופי,היגיינה,משחת שיניים,8,14.15,0.05,113.2,37.97,33.5
IL-01091,2024-06-11,2024,6,שלישי,קיץ,,חצי חינם,נתניה,שרון,בריאות ויופי,היגיינה,דאודורנט Rexona,4,15.92,0.2,63.68,20.56,32.3
IL-01092,2022-06-27,2022,6,שני,קיץ,,ויקטורי,בני ברק,מרכז,אלקטרוניקה,טלוויזיות,"TCL 43""",7,1299.0,0.0,9093.0,1900.98,20.9
IL-01093,2022-02-28,2022,2,שני,חורף,,מגה,חיפה,צפון,אלקטרוניקה,טלוויזיות,"Samsung 55""",6,2239.2,0.2,13435.2,2135.37,15.9
IL-01094,2023-06-14,2023,6,רביעי,קיץ,,מגה,ירושלים,ירושלים,בריאות ויופי,היגיינה,משחת שיניים,1,13.41,0.1,13.41,4.16,31.0
IL-01095,2023-01-27,2023,1,שישי,חורף,,רמי לוי,ראשון לציון,מרכז,בית וגן,ניקיון,שואב אבק,4,339.15,0.15,1356.6,363.89,26.8
IL-01096,2024-09-02,2024,9,שני,סתיו,,חצי חינם,באר שבע,דרום,בית וגן,ניקיון,סבון כלים Fairy,2,12.9,0.0,25.8,6.09,23.6
IL-01097,2023-03-30,2023,3,חמישי,אביב,,חצי חינם,בית שמש,ירושלים,אלקטרוניקה,אוזניות,JBL Tune,6,284.05,0.05,1704.3,321.91,18.9
IL-01098,2024-12-23,2024,12,שני,חורף,,ויקטורי,ירושלים,ירושלים,בריאות ויופי,היגיינה,דאודורנט Rexona,8,19.9,0.0,159.2,52.19,32.8
IL-01099,2023-09-20,2023,9,רביעי,סתיו,,רמי לוי,בני ברק,מרכז,מזון ומשקאות,משקאות,קוקה קולה 1.5L,6,7.9,0.0,47.4,5.7,12.0
IL-01100,2023-01-15,2023,1,ראשון,חורף,,רמי לוי,חולון,מרכז,בית וגן,שינה,ציפית,5,29.0,0.0,145.0,39.58,27.3
IL-01101,2023-02-02,2023,2,חמישי,חורף,,רמי לוי,בני ברק,מרכז,ביגוד והנעלה,נשים,חולצת כותנה,1,75.65,0.15,75.65,23.27,30.8
IL-01102,2024-12-29,2024,12,ראשון,חורף,,מגה,פתח תקווה,מרכז,מזון ומשקאות,מוצרי חלב,יוגורט דנונה,5,3.82,0.15,19.1,2.05,10.7
IL-01103,2022-09-16,2022,9,שישי,סתיו,,ויקטורי,באר שבע,דרום,מזון ומשקאות,מוצרי חלב,יוגורט דנונה,5,4.27,0.05,21.35,2.34,11.0
IL-01104,2023-01-13,2023,1,שישי,חורף,,מגה,תל אביב,מרכז,בית וגן,מטבח,סיר נירוסטה,7,141.55,0.05,990.85,253.59,25.6
IL-01105,2022-06-01,2022,6,רביעי,קיץ,,חצי חינם,נהריה,צפון,מזון ומשקאות,לחם ומאפים,לחם אחיד,5,7.5,0.0,37.5,4.32,11.5
IL-01106,2023-05-24,2023,5,רביעי,אביב,,יינות ביתן,ראשון לציון,מרכז,בית וגן,גינה,אדמת גינה,4,23.2,0.2,92.8,27.11,29.2
IL-01107,2024-12-06,2024,12,שישי,חורף,,ויקטורי,בית שמש,ירושלים,בית וגן,שינה,ציפית,7,29.0,0.0,203.0,68.33,33.7
IL-01108,2022-05-04,2022,5,רביעי,אביב,,חצי חינם,נהריה,צפון,מזון ומשקאות,לחם ומאפים,פיתות,4,8.9,0.0,35.6,4.46,12.5
IL-01109,2022-06-16,2022,6,חמישי,קיץ,,רמי לוי,פתח תקווה,מרכז,אלקטרוניקה,מטעני חשמל,מטען מהיר USB-C,3,89.0,0.0,267.0,50.12,18.8
IL-01110,2024-04-16,2024,4,שלישי,אביב,,חצי חינם,חיפה,צפון,בריאות ויופי,ויטמינים,מגנזיום,1,49.0,0.0,49.0,15.57,31.8
IL-01111,2023-08-14,2023,8,שני,קיץ,,מגה,אשדוד,דרום,בית וגן,מטבח,בלנדר ידני,4,69.0,0.0,276.0,61.39,22.2
IL-01112,2023-02-10,2023,2,שישי,חורף,,שופרסל,בית שמש,ירושלים,בריאות ויופי,קוסמטיקה,פאודר פנים,3,89.0,0.0,267.0,85.23,31.9
IL-01113,2022-10-19,2022,10,רביעי,סתיו,,שופרסל,ראשון לציון,מרכז,אלקטרוניקה,אוזניות,JBL Tune,5,284.05,0.05,1420.25,258.21,18.2
IL-01114,2022-09-12,2022,9,שני,סתיו,,חצי חינם,חיפה,צפון,ביגוד והנעלה,הנעלה,סנדלי נוחות,8,189.05,0.05,1512.4,641.1,42.4
IL-01115,2022-06-14,2022,6,שלישי,קיץ,,שופרסל,נהריה,צפון,בית וגן,שינה,ציפית,5,29.0,0.0,145.0,39.76,27.4
IL-01116,2022-07-07,2022,7,חמישי,קיץ,,חצי חינם,חולון,מרכז,בריאות ויופי,תרופות OTC,וויקס,5,22.41,0.1,112.05,36.87,32.9
IL-01117,2022-03-24,2022,3,חמישי,אביב,פורים,רמי לוי,אשקלון,דרום,בית וגן,גינה,אדמת גינה,8,58.0,0.0,464.0,129.44,27.9
IL-01118,2023-01-07,2023,1,שבת,חורף,,חצי חינם,בית שמש,ירושלים,בית וגן,מטבח,מחבת טפלון,6,94.05,0.05,564.3,138.22,24.5
IL-01119,2023-11-14,2023,11,שלישי,חורף,,חצי חינם,ירושלים,ירושלים,מזון ומשקאות,לחם ומאפים,חלה גדולה,7,12.66,0.15,88.62,13.67,15.4
IL-01120,2024-10-11,2024,10,שישי,סתיו,,חצי חינם,בני ברק,מרכז,בית וגן,גינה,זרנוק גינה,8,89.0,0.0,712.0,215.42,30.3
IL-01121,2022-08-26,2022,8,שישי,קיץ,,ויקטורי,אשקלון,דרום,בריאות ויופי,תרופות OTC,וויקס,8,23.65,0.05,189.2,65.03,34.4
IL-01122,2022-04-22,2022,4,שישי,אביב,,יינות ביתן,חולון,מרכז,ביגוד והנעלה,אביזרים,כובע קיץ,8,55.2,0.2,441.6,142.51,32.3
IL-01123,2022-09-26,2022,9,שני,סתיו,ראש השנה,מגה,הרצליה,שרון,בית וגן,ניקיון,סבון כלים Fairy,1,24.12,0.15,24.12,7.77,32.2
IL-01124,2023-09-29,2023,9,שישי,סתיו,,שופרסל,נצרת,צפון,בריאות ויופי,ויטמינים,ויטמין C 1000,4,31.2,0.2,124.8,34.69,27.8
IL-01125,2022-08-21,2022,8,ראשון,קיץ,,שופרסל,חיפה,צפון,אלקטרוניקה,טלוויזיות,"TCL 43""",5,1169.1,0.1,5845.5,1155.1,19.8
IL-01126,2023-07-14,2023,7,שישי,קיץ,,ויקטורי,בית שמש,ירושלים,בית וגן,סלון,שולחן קפה,3,379.05,0.05,1137.15,393.13,34.6
IL-01127,2023-01-26,2023,1,חמישי,חורף,,יינות ביתן,הרצליה,שרון,בריאות ויופי,קוסמטיקה,קרם לחות SPF,5,55.2,0.2,276.0,80.12,29.0
IL-01128,2024-04-29,2024,4,שני,אביב,,יינות ביתן,ירושלים,ירושלים,ביגוד והנעלה,גברים,מכנסי ג'ינס,5,159.2,0.2,796.0,265.08,33.3
IL-01129,2024-09-29,2024,9,ראשון,סתיו,,רמי לוי,נתניה,שרון,בית וגן,גינה,עציץ קרמיקה,6,49.0,0.0,294.0,83.2,28.3
IL-01130,2024-02-12,2024,2,שני,חורף,,מגה,חיפה,צפון,אלקטרוניקה,מחשבים,טאבלט iPad,7,2499.0,0.0,17493.0,2884.52,16.5
IL-01131,2024-04-21,2024,4,ראשון,אביב,,מגה,תל אביב,מרכז,בית וגן,ניקיון,מגב רצפה,3,37.05,0.05,111.15,25.95,23.3
IL-01132,2022-03-17,2022,3,חמישי,אביב,,יינות ביתן,פתח תקווה,מרכז,בריאות ויופי,היגיינה,שמפו Head&Shoulders,8,29.9,0.0,239.2,77.04,32.2
IL-01133,2024-12-13,2024,12,שישי,חורף,,ויקטורי,הרצליה,שרון,מזון ומשקאות,משקאות,קוקה קולה 1.5L,7,6.32,0.2,44.24,3.9,8.8
IL-01134,2022-11-13,2022,11,ראשון,חורף,,ויקטורי,ראשון לציון,מרכז,ביגוד והנעלה,ילדים,כובע ספורט,7,41.65,0.15,291.55,106.18,36.4
IL-01135,2022-06-14,2022,6,שלישי,קיץ,,מגה,נתניה,שרון,בריאות ויופי,ויטמינים,מגנזיום,8,39.2,0.2,313.6,91.7,29.2
IL-01136,2022-03-15,2022,3,שלישי,אביב,,שופרסל,נהריה,צפון,אלקטרוניקה,אוזניות,AirPods,2,664.05,0.05,1328.1,300.81,22.6
IL-01137,2022-07-21,2022,7,חמישי,קיץ,,חצי חינם,אשקלון,דרום,מזון ומשקאות,פירות וירקות,"עגבניות ק""ג",5,7.9,0.0,39.5,3.81,9.6
IL-01138,2022-04-05,2022,4,שלישי,אביב,פסח,שופרסל,ירושלים,ירושלים,ביגוד והנעלה,ילדים,נעלי ילדים,7,297.5,0.0,2082.5,708.75,34.0
IL-01139,2023-05-16,2023,5,שלישי,אביב,,ויקטורי,נצרת,צפון,בריאות ויופי,קוסמטיקה,קרם לחות SPF,3,69.0,0.0,207.0,71.29,34.4
IL-01140,2024-02-23,2024,2,שישי,חורף,,חצי חינם,נהריה,צפון,אלקטרוניקה,טלוויזיות,"TCL 43""",3,1299.0,0.0,3897.0,557.56,14.3
IL-01141,2024-08-02,2024,8,שישי,קיץ,,מגה,באר שבע,דרום,בית וגן,שינה,ציפית,1,23.2,0.2,23.2,6.65,28.7
IL-01142,2024-08-10,2024,8,שבת,קיץ,,יינות ביתן,באר שבע,דרום,אלקטרוניקה,טלפונים,Samsung Galaxy,6,2519.1,0.1,15114.6,3313.34,21.9
IL-01143,2023-09-05,2023,9,שלישי,סתיו,,ויקטורי,באר שבע,דרום,ביגוד והנעלה,הנעלה,סנדלי נוחות,4,189.05,0.05,756.2,228.2,30.2
IL-01144,2024-09-16,2024,9,שני,סתיו,,רמי לוי,ראשון לציון,מרכז,בית וגן,גינה,עציץ קרמיקה,5,41.65,0.15,208.25,59.46,28.6
IL-01145,2023-08-28,2023,8,שני,קיץ,,חצי חינם,תל אביב,מרכז,בית וגן,שינה,כרית שינה,1,80.1,0.1,80.1,23.05,28.8
IL-01146,2024-10-14,2024,10,שני,סתיו,,מגה,נתניה,שרון,אלקטרוניקה,מטעני חשמל,כבל Lightning,4,41.65,0.15,166.6,33.9,20.3
IL-01147,2023-01-25,2023,1,רביעי,חורף,,מגה,נהריה,צפון,אלקטרוניקה,טלפונים,Xiaomi 13,1,1499.0,0.0,1499.0,214.19,14.3
IL-01148,2024-06-21,2024,6,שישי,קיץ,,יינות ביתן,תל אביב,מרכז,ביגוד והנעלה,נשים,שמלת קיץ,5,149.0,0.0,745.0,231.24,31.0
IL-01149,2024-04-30,2024,4,שלישי,אביב,,רמי לוי,פתח תקווה,מרכז,אלקטרוניקה,מטעני חשמל,כבל Lightning,5,39.2,0.2,196.0,38.35,19.6
IL-01150,2024-09-13,2024,9,שישי,סתיו,,מגה,אשקלון,דרום,ביגוד והנעלה,גברים,מכנסי ג'ינס,2,199.0,0.0,398.0,142.85,35.9
