כמות,מחיר_יחידה,הנחה_אחוז,month,day_of_week_num,is_holiday,is_weekend,קטגוריה_enc,רשת_enc,אזור_enc,עונה_enc,is_high_profit
5,29.0,0.0,1,6,0,0,2,4,2,1,0
1,75.65,0.15,2,3,0,0,1,4,2,1,1
5,3.82,0.15,12,6,0,0,4,3,2,1,0
5,4.27,0.05,9,4,0,1,4,0,0,2,0
7,141.55,0.05,1,4,0,1,2,3,2,1,0
5,7.5,0.0,6,2,0,0,4,1,3,3,0
4,23.2,0.2,5,2,0,0,2,2,2,0,1
7,29.0,0.0,12,4,0,1,2,0,1,1,1
4,8.9,0.0,5,2,0,0,4,1,3,0,0
3,89.0,0.0,6,3,0,0,0,4,2,3,0
1,49.0,0.0,4,1,0,0,3,1,3,0,1
4,69.0,0.0,8,0,0,0,2,3,0,3,0
3,89.0,0.0,2,4,0,1,3,5,1,1,1
5,284.05,0.05,10,2,0,0,0,5,2,2,0
8,189.05,0.05,9,0,0,0,1,1,3,2,1
5,29.0,0.0,6,1,0,0,2,5,3,3,0
5,22.41,0.1,7,3,0,0,3,1,2,3,1
8,58.0,0.0,3,3,1,0,2,4,0,0,1
6,94.05,0.05,1,5,0,1,2,1,1,1,0
7,12.66,0.15,11,1,0,0,4,1,1,1,0
8,89.0,0.0,10,4,0,1,2,1,2,2,1
8,23.65,0.05,8,4,0,1,3,0,0,3,1
8,55.2,0.2,4,4,0,1,1,2,2,0,1
1,24.12,0.15,9,0,1,0,2,3,4,2,1
4,31.2,0.2,9,4,0,1,3,5,3,2,1
5,1169.1,0.1,8,6,0,0,0,5,3,3,0
3,379.05,0.05,7,4,0,1,2,0,1,3,1
5,55.2,0.2,1,3,0,0,3,2,4,1,1
5,159.2,0.2,4,0,0,0,1,2,1,0,1
6,49.0,0.0,9,6,0,0,2,4,4,2,1
7,2499.0,0.0,2,0,0,0,0,3,3,1,0
3,37.05,0.05,4,6,0,0,2,3,2,0,0
8,29.9,0.0,3,3,0,0,3,2,2,0,1
7,6.32,0.2,12,4,0,1,4,0,4,1,0
7,41.65,0.15,11,6,0,0,1,0,2,1,1
8,39.2,0.2,6,1,0,0,3,3,4,3,1
2,664.05,0.05,3,1,0,0,0,5,3,0,0
5,7.9,0.0,7,3,0,0,4,1,0,3,0
7,297.5,0.0,4,1,1,0,1,5,1,0,1
3,69.0,0.0,5,1,0,0,3,0,3,0,1
3,1299.0,0.0,2,4,0,1,0,1,3,1,0
1,23.2,0.2,8,4,0,1,2,3,0,3,1
6,2519.1,0.1,8,5,0,1,0,2,0,3,0
4,189.05,0.05,9,1,0,0,1,0,0,2,1
5,41.65,0.15,9,0,0,0,2,4,2,2,1
1,80.1,0.1,8,0,0,0,2,1,2,3,1
4,41.65,0.15,10,0,0,0,0,3,4,2,0
1,1499.0,0.0,1,2,0,0,0,3,3,1,0
5,149.0,0.0,6,4,0,1,1,2,2,3,1
5,39.2,0.2,4,1,0,0,0,4,2,0,0
2,199.0,0.0,9,4,0,1,1,3,0,2,1
2,39.2,0.2,4,5,0,1,2,1,0,0,1
6,12.66,0.15,3,1,0,0,3,3,2,0,1
4,37.05,0.05,6,2,0,0,1,0,3,3,1
2,75.65,0.15,2,0,0,0,1,2,3,1,1
3,399.0,0.0,8,3,0,0,1,1,4,3,1
3,6.55,0.05,3,4,0,1,4,0,2,0,0
3,41.8,0.05,7,3,0,0,3,1,1,3,1
1,41.65,0.15,7,4,0,1,3,0,4,3,1
2,339.15,0.15,1,0,0,0,2,0,2,1,0
5,199.0,0.0,1,1,0,0,1,1,3,1,1
1,7.9,0.0,9,3,0,0,4,0,4,2,0
4,62.1,0.1,11,2,0,0,3,4,2,1,1
1,129.0,0.0,3,6,0,0,1,4,4,0,1
1,149.0,0.0,10,0,0,0,1,2,2,2,1
3,29.9,0.0,1,0,0,0,3,4,1,1,1
2,84.55,0.05,4,0,0,0,2,1,2,0,1
4,13.41,0.1,7,6,0,0,3,3,0,3,1
1,19.9,0.0,3,2,0,0,3,1,0,0,1
8,6.9,0.0,9,5,0,1,4,1,1,2,0
5,3599.1,0.1,6,2,0,0,0,2,1,3,0
2,31.2,0.2,12,6,0,0,3,0,2,1,1
8,2184.05,0.05,3,4,0,1,0,0,1,0,0
5,199.0,0.0,5,2,0,0,1,5,0,0,1
2,6.55,0.05,11,2,0,0,4,0,0,1,0
1,116.1,0.1,7,6,0,0,1,1,0,3,1
7,23.2,0.2,11,1,0,0,2,5,0,1,1
4,39.0,0.0,4,5,0,1,1,3,3,0,1
4,159.2,0.2,8,2,0,0,1,2,1,3,1
5,24.9,0.0,5,1,0,0,3,2,4,0,1
1,119.0,0.0,1,3,0,0,1,1,2,1,1
1,149.0,0.0,10,4,0,1,2,1,3,2,1
3,39.0,0.0,12,6,0,0,2,0,2,1,0
3,18.9,0.0,10,6,0,0,3,3,0,2,1
7,477.09,0.05,4,1,1,0,1,5,0,0,1
6,84.55,0.05,6,0,0,0,0,3,1,3,0
5,44.0,0.0,8,1,0,0,3,1,2,3,1
5,6.9,0.0,3,1,0,0,4,2,1,0,0
1,120.08,0.05,10,6,1,0,1,3,0,2,1
4,26.1,0.1,5,4,0,1,2,4,2,0,0
8,7.9,0.0,12,2,0,0,4,0,2,1,0
7,89.0,0.0,4,0,0,0,2,1,0,0,0
2,199.0,0.0,7,2,0,0,1,1,4,3,1
5,12.66,0.15,6,1,0,0,3,0,3,3,1
2,1349.1,0.1,11,0,0,0,0,3,2,1,0
2,149.0,0.0,11,6,0,0,1,3,2,1,1
2,89.0,0.0,6,4,0,1,3,4,2,3,1
6,35.2,0.2,10,1,0,0,3,2,3,2,1
5,9.52,0.2,10,1,0,0,4,0,2,2,0
5,84.55,0.05,7,0,0,0,1,5,3,3,1
2,71.1,0.1,7,6,0,0,1,5,2,3,1
4,14.9,0.0,11,0,0,0,3,0,1,1,1
6,6.71,0.15,9,6,0,0,4,4,3,2,0
5,854.05,0.05,12,0,0,0,0,2,3,1,0
6,24.9,0.0,4,2,0,0,3,3,0,0,1
3,149.0,0.0,11,1,0,0,2,2,2,1,0
7,899.0,0.0,6,3,0,0,0,1,3,3,0
2,75.65,0.15,6,3,0,0,2,2,2,3,1
3,52.9,0.0,5,4,0,1,4,3,3,0,0
3,2999.0,0.0,12,4,0,1,0,0,0,1,1
6,19.92,0.2,8,1,0,0,3,5,4,3,1
3,5608.13,0.15,9,0,1,0,0,0,3,2,0
5,1039.2,0.2,1,2,0,0,0,1,0,1,0
4,899.0,0.0,7,0,0,0,0,2,2,3,0
7,29.0,0.0,6,4,0,1,2,3,3,3,0
8,559.2,0.2,2,0,0,0,0,2,0,1,0
2,11.92,0.2,1,2,0,0,3,5,3,1,1
2,49.0,0.0,11,4,0,1,3,0,2,1,1
7,7.11,0.1,7,4,0,1,4,3,4,3,0
1,38.9,0.0,2,0,0,0,4,0,2,1,0
1,149.0,0.0,7,4,0,1,1,1,4,3,1
1,399.0,0.0,8,6,0,0,2,4,0,3,0
7,149.0,0.0,2,1,0,0,0,4,2,1,0
7,5.87,0.15,8,0,0,0,4,3,2,3,0
1,24.65,0.15,7,3,0,0,2,5,2,3,0
1,809.1,0.1,11,3,0,0,0,4,3,1,0
2,116.1,0.1,12,6,0,0,2,2,2,1,1
8,14.9,0.0,1,1,0,0,3,2,2,1,1
6,38.9,0.0,3,6,0,0,4,3,1,0,0
6,134.1,0.1,8,0,0,0,1,2,0,3,1
3,319.2,0.2,11,5,0,1,2,1,2,1,0
1,3999.0,0.0,7,4,0,1,0,3,2,3,0
1,39.2,0.2,9,3,0,0,3,0,3,2,1
5,14.9,0.0,1,4,0,1,4,3,2,1,0
3,37.05,0.05,1,2,0,0,2,0,1,1,1
7,39.0,0.0,10,1,0,0,1,2,1,2,1
2,19.9,0.0,5,4,0,1,3,4,3,0,0
7,279.0,0.0,11,4,0,1,1,3,0,1,1
7,14.9,0.0,6,4,0,1,4,0,1,3,0
3,29.0,0.0,4,3,0,0,2,1,2,0,1
2,149.0,0.0,10,3,0,0,2,2,4,2,0
3,21.16,0.15,1,6,0,0,3,0,1,1,1
3,62.1,0.1,7,2,0,0,2,3,1,3,1
1,126.65,0.15,1,0,0,0,1,3,1,1,1
5,71.2,0.2,1,1,0,0,2,2,3,1,0
8,49.0,0.0,6,6,0,0,0,0,0,3,0
8,129.0,0.0,9,4,0,1,2,5,2,2,0
5,9.9,0.0,10,1,0,0,4,3,0,2,0
4,55.2,0.2,12,4,0,1,3,3,0,1,1
6,23.65,0.05,10,2,0,0,4,0,2,2,0
8,47.61,0.1,9,4,0,1,4,5,3,2,0
6,16.06,0.15,4,6,0,0,3,0,0,0,1
3,23.92,0.2,6,2,0,0,3,0,3,3,1
3,4.5,0.0,9,3,0,0,4,2,1,2,0
5,239.2,0.2,12,6,0,0,0,3,2,1,0
2,134.1,0.1,7,0,0,0,1,1,2,3,1
6,1999.2,0.2,12,0,0,0,0,2,3,1,0
5,10.96,0.15,3,5,0,1,4,5,2,0,0
1,27.55,0.05,3,2,0,0,2,2,0,0,1
7,129.0,0.0,8,3,0,0,2,3,0,3,1
7,14.15,0.05,7,2,0,0,4,1,2,3,0
6,41.65,0.15,8,4,0,1,3,3,2,3,1
4,14.15,0.05,12,5,0,1,3,3,2,1,0
1,2999.0,0.0,9,3,0,0,0,0,2,2,0
6,53.1,0.1,2,0,0,0,2,2,4,1,0
8,49.0,0.0,10,1,0,0,2,4,2,2,0
4,49.0,0.0,10,1,0,0,2,5,2,2,1
8,279.0,0.0,12,6,0,0,1,5,2,1,1
6,319.2,0.2,1,0,0,0,2,5,4,1,0
4,172.5,0.0,4,4,1,1,2,5,1,0,1
5,35.2,0.2,8,1,0,0,3,0,2,3,1
6,119.2,0.2,9,3,0,0,2,5,2,2,0
1,44.0,0.0,10,6,0,0,3,2,2,2,1
8,279.0,0.0,3,0,0,0,1,1,2,0,1
7,26.91,0.1,11,3,0,0,3,3,2,1,1
5,41.8,0.05,9,1,0,0,3,3,3,2,1
5,5.52,0.2,2,4,0,1,4,3,1,1,0
4,126.65,0.15,2,3,0,0,1,0,3,1,1
4,39.0,0.0,12,4,0,1,3,1,3,1,1
3,141.55,0.05,8,6,0,0,2,5,2,3,0
1,37.4,0.15,2,2,0,0,3,2,1,1,1
8,13.41,0.1,10,0,0,0,3,4,3,2,1
6,41.65,0.15,2,6,0,0,2,4,1,1,1
6,134.1,0.1,3,2,0,0,2,1,0,0,1
5,594.15,0.15,2,5,0,1,0,3,1,1,0
5,53.1,0.1,6,0,0,0,2,3,0,3,0
1,58.65,0.15,7,1,0,0,3,5,2,3,1
3,1424.05,0.05,8,6,0,0,0,1,2,3,0
5,764.15,0.15,9,6,0,0,0,1,3,2,0
1,89.0,0.0,5,0,0,0,3,5,4,0,1
3,10.12,0.15,5,6,0,0,4,4,4,0,0
2,24.9,0.0,8,2,0,0,4,5,4,3,0
8,39.0,0.0,8,6,0,0,3,1,3,3,1
8,109.65,0.15,1,0,0,0,1,5,0,1,1
5,13.41,0.1,6,6,0,0,4,4,0,3,0
6,399.0,0.0,1,1,0,0,2,2,2,1,1
6,2299.0,0.0,1,4,0,1,0,0,2,1,0
2,141.55,0.05,1,0,0,0,1,1,2,1,1
2,12.66,0.15,9,3,0,0,3,0,2,2,1
8,2999.0,0.0,8,0,0,0,0,2,1,3,0
4,35.2,0.2,2,0,0,0,3,1,1,1,1
6,5.9,0.0,5,0,0,0,4,2,0,0,0
3,89.0,0.0,8,3,0,0,3,2,2,3,1
4,58.65,0.15,11,4,0,1,2,2,4,1,1
7,122.55,0.05,11,0,0,0,2,5,3,1,0
5,159.2,0.2,4,4,0,1,1,0,3,0,1
7,18.9,0.0,1,4,0,1,3,4,0,1,1
5,7.5,0.05,5,2,0,0,4,5,3,0,0
8,119.2,0.2,1,2,0,0,2,4,0,1,1
6,89.0,0.0,2,1,0,0,3,5,1,1,1
4,71.2,0.2,1,6,0,0,3,0,3,1,1
7,35.2,0.2,9,0,0,0,3,1,3,2,1
4,75.65,0.15,4,6,0,0,1,0,2,0,1
2,2699.1,0.1,5,2,0,0,0,5,3,0,0
1,8.46,0.05,3,3,0,0,4,2,3,0,0
5,3999.0,0.0,6,0,0,0,0,2,2,3,0
3,113.47,0.15,10,0,1,0,1,2,3,2,1
3,67.15,0.15,12,1,0,0,1,0,2,1,1
7,19.92,0.2,5,4,0,1,4,0,3,0,0
5,12.25,0.05,12,1,0,0,2,1,1,1,0
5,47.2,0.2,1,3,0,0,2,2,0,1,1
7,5.31,0.1,10,6,0,0,4,0,0,2,0
4,89.0,0.0,11,2,0,0,2,5,0,1,0
4,15.12,0.2,7,1,0,0,3,1,1,3,1
4,79.0,0.0,3,1,0,0,1,4,3,0,1
4,141.55,0.05,8,0,0,0,0,0,0,3,0
5,19.9,0.0,8,3,0,0,3,0,1,3,1
6,89.0,0.0,11,5,0,1,2,5,3,1,1
7,24.9,0.0,3,3,0,0,4,4,0,0,0
4,1234.05,0.05,11,2,0,0,0,3,2,1,0
6,12.9,0.0,11,3,0,0,2,0,2,1,0
1,116.1,0.1,10,4,0,1,2,2,0,2,1
3,10.32,0.2,3,4,0,1,4,5,4,0,0
8,44.0,0.0,5,2,0,0,3,1,3,0,1
5,134.1,0.1,1,4,0,1,2,2,3,1,1
2,53.1,0.1,8,4,0,1,2,2,2,3,0
5,15.92,0.2,11,1,0,0,3,4,2,1,1
2,4674.15,0.15,4,3,0,0,0,2,3,0,0
8,399.0,0.0,3,6,0,0,2,0,2,0,1
6,10.71,0.1,1,3,0,0,4,4,0,1,0
8,7.5,0.0,7,4,0,1,4,2,4,3,0
1,372.5,0.0,4,2,1,0,1,5,4,0,1
3,89.1,0.1,3,2,0,0,2,4,3,0,0
3,15.92,0.2,5,0,0,0,3,0,3,0,1
7,99.0,0.0,6,4,0,1,1,1,3,3,1
1,41.65,0.15,6,6,0,0,3,2,1,3,1
7,379.05,0.05,7,4,0,1,2,0,0,3,1
5,55.2,0.2,1,0,0,0,2,2,0,1,1
6,2299.0,0.0,2,6,0,0,0,1,0,1,0
2,149.0,0.0,7,3,0,0,2,3,2,3,0
7,29.0,0.0,6,1,0,0,2,0,2,3,1
6,19.92,0.2,2,2,0,0,3,3,2,1,1
4,11.61,0.1,2,2,0,0,2,3,2,1,1
5,59.0,0.0,12,1,0,0,2,1,2,1,0
5,14.15,0.05,7,1,0,0,4,4,3,3,0
8,71.1,0.1,9,2,0,0,1,5,3,2,1
7,699.0,0.0,2,6,0,0,0,5,3,1,0
3,149.0,0.0,2,6,0,0,2,3,0,1,1
3,2184.05,0.05,10,3,0,0,0,1,3,2,0
6,126.82,0.05,10,0,1,0,2,1,2,2,1
3,5.87,0.15,7,5,0,1,4,3,1,3,0
2,1839.2,0.2,2,4,0,1,0,0,0,1,0
5,594.15,0.15,4,2,0,0,0,0,0,0,0
7,39.6,0.1,2,0,0,0,3,0,2,1,1
6,75.65,0.15,11,6,0,0,2,1,4,1,1
1,116.1,0.1,6,4,0,1,1,4,2,3,1
2,149.0,0.0,3,4,0,1,2,3,0,0,1
6,46.55,0.05,3,4,0,1,3,1,3,0,1
1,46.55,0.05,8,1,0,0,3,1,0,3,1
3,4.5,0.0,8,2,0,0,4,0,2,3,0
6,46.55,0.05,10,6,0,0,0,0,1,2,0
5,89.0,0.0,7,1,0,0,2,1,3,3,0
4,7.11,0.1,8,2,0,0,4,3,2,3,0
3,399.0,0.0,11,3,0,0,2,0,3,1,1
7,46.55,0.05,6,1,0,0,3,5,1,3,1
2,269.1,0.1,1,0,0,0,0,4,0,1,0
4,854.05,0.05,7,3,0,0,0,2,0,3,0
6,26.1,0.1,8,0,0,0,2,1,2,3,0
6,11.92,0.2,3,2,0,0,3,0,3,0,0
2,126.65,0.15,7,4,0,1,1,4,3,3,1
3,699.0,0.0,10,6,0,0,0,5,1,2,0
7,84.55,0.05,10,0,0,0,2,0,3,2,1
3,84.55,0.05,1,0,0,0,3,1,3,1,1
1,223.2,0.2,8,1,0,0,1,4,2,3,1
8,1234.05,0.05,1,5,0,1,0,4,3,1,0
4,6.9,0.0,6,4,0,1,4,4,3,3,0
8,26.91,0.1,3,1,0,0,3,4,2,0,1
5,5.52,0.2,10,4,0,1,4,2,3,2,0
7,89.0,0.0,1,0,0,0,2,5,3,1,0
2,141.55,0.05,5,0,0,0,2,5,2,0,1
6,119.2,0.2,8,0,0,0,0,4,0,3,0
1,2699.1,0.1,5,6,0,0,0,2,2,0,0
5,49.0,0.0,12,2,0,0,3,3,3,1,0
1,14.9,0.0,7,6,0,0,4,2,4,3,0
7,122.55,0.05,9,3,0,0,1,4,2,2,1
8,199.0,0.0,10,2,0,0,1,1,3,2,1
8,119.0,0.0,7,6,0,0,1,2,1,3,1
6,11.92,0.2,1,3,0,0,4,1,4,1,0
4,379.05,0.05,5,1,0,0,2,2,0,0,1
3,134.1,0.1,7,1,0,0,1,3,1,3,1
8,6.9,0.0,9,4,0,1,4,3,0,2,0
7,12.9,0.0,9,0,0,0,2,4,4,2,1
2,75.65,0.15,9,2,0,0,1,1,4,2,1
7,126.65,0.15,1,1,0,0,1,5,2,1,1
2,1104.15,0.15,9,0,0,0,0,1,0,2,0
4,134.1,0.1,7,3,0,0,2,4,2,3,1
3,189.05,0.05,6,6,0,0,1,5,2,3,1
2,7.9,0.0,5,3,0,0,4,0,2,0,0
3,2799.0,0.0,1,1,0,0,0,3,4,1,0
6,41.65,0.15,12,6,0,0,3,5,3,1,1
8,1039.2,0.2,3,0,0,0,0,1,0,0,0
7,1499.0,0.0,3,1,0,0,0,5,2,0,0
2,299.0,0.0,5,2,0,0,0,4,1,0,0
4,13.41,0.1,8,0,0,0,4,1,0,3,0
7,14.9,0.0,3,2,0,0,4,1,2,0,0
1,24.9,0.0,5,1,0,0,3,1,3,0,1
3,39.2,0.2,10,2,0,0,3,0,2,2,1
1,6.9,0.0,8,3,0,0,4,5,0,3,0
7,14.15,0.05,5,2,0,0,3,0,0,0,1
2,49.0,0.0,4,2,0,0,3,1,2,0,1
2,19.9,0.0,2,1,0,0,3,4,0,1,1
7,7.5,0.0,6,4,0,1,4,4,0,3,0
3,24.9,0.0,7,2,0,0,4,2,3,3,0
6,13.41,0.1,1,2,0,0,4,4,0,1,0
3,75.65,0.15,11,0,0,0,1,1,0,1,1
5,47.61,0.1,7,2,0,0,4,5,0,3,0
8,13.41,0.1,5,2,0,0,3,1,2,0,1
3,49.0,0.0,1,0,0,0,3,0,2,1,0
1,8.9,0.0,7,5,0,1,4,1,0,3,0
3,149.0,0.0,1,2,0,0,2,5,2,1,1
4,379.05,0.05,3,0,0,0,2,1,3,0,1
1,29.9,0.0,10,2,0,0,3,5,2,2,1
8,6.32,0.2,4,0,0,0,4,2,0,0,0
8,39.0,0.0,8,2,0,0,1,3,0,3,1
4,14.15,0.05,1,4,0,1,3,3,2,1,0
3,89.0,0.0,1,3,0,0,0,0,3,1,0
1,14.9,0.0,4,4,0,1,3,4,2,0,1
4,80.1,0.1,1,0,0,0,2,1,0,1,1
5,8.9,0.0,5,2,0,0,4,0,1,0,0
6,41.8,0.05,3,3,0,0,3,4,4,0,1
7,89.0,0.0,6,3,0,0,3,5,3,3,1
5,4399.2,0.2,5,6,0,0,0,1,1,0,0
5,119.0,0.0,10,6,0,0,1,0,4,2,1
2,18.9,0.0,6,3,0,0,3,4,2,3,1
6,55.2,0.2,7,1,0,0,2,3,3,3,0
2,89.0,0.0,3,3,0,0,2,3,3,0,0
3,14.9,0.0,9,5,0,1,4,2,0,2,0
5,24.9,0.0,5,2,0,0,3,0,1,0,1
4,29.0,0.0,12,4,0,1,2,0,2,1,0
4,6.9,0.0,8,6,0,0,4,4,2,3,0
5,31.2,0.2,2,4,0,1,1,0,4,1,1
2,2239.2,0.2,6,4,0,1,0,5,2,3,0
7,41.8,0.05,8,4,0,1,3,4,2,3,1
4,399.0,0.0,3,2,0,0,2,1,1,0,0
4,1274.15,0.15,7,1,0,0,0,0,2,3,0
2,39.0,0.0,8,0,0,0,3,0,3,3,1
7,71.2,0.2,2,0,0,0,0,2,0,1,0
5,19.9,0.0,9,3,0,0,3,2,1,2,1
1,2239.2,0.2,2,2,0,0,0,2,1,1,0
1,239.2,0.2,4,5,0,1,0,4,2,0,0
4,134.1,0.1,3,6,0,0,1,0,3,0,1
6,22.41,0.1,10,5,0,1,3,3,0,2,1
3,46.55,0.05,10,2,0,0,2,4,3,2,1
4,19.92,0.2,2,3,0,0,4,0,3,1,0
1,1537.8,0.0,9,6,1,0,0,1,1,2,0
6,25.41,0.15,10,1,0,0,3,5,0,2,1
3,119.0,0.0,3,3,0,0,1,5,3,0,1
6,89.0,0.0,6,3,0,0,2,1,0,3,0
1,227.97,0.15,12,0,1,0,1,3,1,1,1
6,7.12,0.2,3,1,0,0,4,2,4,0,0
6,6.71,0.15,3,2,0,0,4,2,0,0,0
2,103.2,0.2,6,3,0,0,1,3,2,3,1
2,149.0,0.0,11,6,0,0,1,5,3,1,1
7,12.25,0.05,1,0,0,0,2,0,2,1,1
4,99.0,0.0,2,3,0,0,2,2,1,1,1
2,79.0,0.0,3,3,0,0,1,5,2,0,1
2,1499.0,0.0,12,3,0,0,0,0,4,1,0
7,129.0,0.0,9,6,0,0,2,5,0,2,0
5,4674.15,0.15,4,2,0,0,0,3,2,0,0
8,12.9,0.0,7,0,0,0,4,4,2,3,0
8,99.0,0.0,4,4,0,1,2,5,1,0,0
8,559.2,0.2,7,0,0,0,0,4,2,3,0
5,399.0,0.0,8,3,0,0,2,0,2,3,0
8,89.0,0.0,3,0,0,0,2,3,2,0,0
6,3199.2,0.2,7,2,0,0,0,5,3,3,0
7,13.41,0.1,4,5,0,1,3,4,3,0,1
7,71.2,0.2,8,4,0,1,2,4,3,3,1
8,69.0,0.0,3,6,0,0,3,2,3,0,1
2,2379.15,0.15,12,4,0,1,0,4,2,1,0
6,41.65,0.15,6,0,0,0,0,1,2,3,0
6,35.2,0.2,5,2,0,0,3,0,2,0,1
7,12.9,0.0,7,3,0,0,4,0,3,3,0
2,15.12,0.2,4,6,0,0,3,4,2,0,1
